Table 1a: All settlements by locality and council area (sorted alphabetically by settlement),,,,,,
,,,,,,
"Settlement name1, 2",Settlement code,Locality name1,Locality code,Council area name,Council area code,
Conon Bridge and Maryburgh,S20001131,Maryburgh,S19001698,Highland,S12000017,
Coupar Angus,S20001132,Coupar Angus,S19001424,Perth and Kinross,S12000024,
"Cowdenbeath, Lochgelly and Lumphinnans",S20001133,Cowdenbeath and Lumphinnans,S19001426,Fife,S12000015,
"Cowdenbeath, Lochgelly and Lumphinnans",S20001133,Lochgelly,S19001679,Fife,S12000015,
Cowie,S20001134,Cowie,S19001427,Stirling,S12000030,
Coylton,S20001135,Coylton,S19001428,South Ayrshire,S12000028,
Crail,S20001136,Crail,S19001429,Fife,S12000015,
Creetown,S20001137,Creetown,S19001430,Dumfries and Galloway,S12000006,
Crieff,S20001138,Crieff,S19001431,Perth and Kinross,S12000024,
Crimond,S20001139,Crimond,S19001432,Aberdeenshire,S12000034,
Cromarty,S20001140,Cromarty,S19001433,Highland,S12000017,
Crook of Devon,S20001141,Crook of Devon,S19001434,Perth and Kinross,S12000024,
Crossford (Fife),S20001142,Crossford (Fife),S19001435,Fife,S12000015,
Crossford (South Lanarkshire),S20001143,Crossford (South Lanarkshire),S19001436,South Lanarkshire,S12000029,
Crosshill,S20001144,Crosshill,S19001438,South Ayrshire,S12000028,
Crosshouse,S20001145,Crosshouse,S19001439,East Ayrshire,S12000008,
Croy,S20001146,Croy,S19001440,North Lanarkshire,S12000044,
Cruden Bay,S20001147,Cruden Bay,S19001441,Aberdeenshire,S12000034,
Cullen,S20001148,Cullen,S19001442,Moray,S12000020,
Cumbernauld,S20001149,Cumbernauld,S19001444,North Lanarkshire,S12000044,
Cuminestown,S20001150,Cuminestown,S19001445,Aberdeenshire,S12000034,
Cumnock,S20001151,Cumnock,S19001446,East Ayrshire,S12000008,
Cupar,S20001152,Cupar,S19001447,Fife,S12000015,
Dailly,S20001153,Dailly,S19001448,South Ayrshire,S12000028,
Dalbeattie,S20001154,Dalbeattie,S19001449,Dumfries and Galloway,S12000006,
Dalgety Bay,S20001155,Dalgety Bay,S19001450,Fife,S12000015,
Dalmellington,S20001156,Dalmellington,S19001452,East Ayrshire,S12000008,
Dalry,S20001157,Dalry,S19001453,North Ayrshire,S12000021,
Dalrymple,S20001158,Dalrymple,S19001454,East Ayrshire,S12000008,
Danderhall,S20001159,Danderhall,S19001455,Midlothian,S12000019,
Darnick,S20001160,Darnick,S19001456,Scottish Borders,S12000026,
Darvel,S20001161,Darvel,S19001457,East Ayrshire,S12000008,
